nom,pv,degat,prix,type,@illustration,description,@bordure,@pictovie,@pictoprix,@pictodegat
Supermad,9,9,9,Créature,"C:\Users\webuser\Desktop\csv\burger\supermad.psd","Le son de sa guitare vous électrisent.","C:\Users\webuser\Desktop\csv\burger\contour_cartes.psd","C:\Users\webuser\Desktop\csv\burger\vie-pic.psd","C:\Users\webuser\Desktop\csv\burger\cout-pic.psd","C:\Users\webuser\Desktop\csv\burger\degats-pic.psd"
"DJ Da funky Code",2,3,2,Créature,"C:\Users\webuser\Desktop\csv\burger\dj_da_funky_code.psd","Ne vous méprenez pas de son sourire, sa musique vous poursuivra jusqu'au prochain tour.","C:\Users\webuser\Desktop\csv\burger\contour_cartes.psd","C:\Users\webuser\Desktop\csv\burger\vie-pic.psd","C:\Users\webuser\Desktop\csv\burger\cout-pic.psd","C:\Users\webuser\Desktop\csv\burger\degats-pic.psd"
Simbale,1,2,1,Créature,"C:\Users\webuser\Desktop\csv\burger\simbale.psd","Il donne le LA !","C:\Users\webuser\Desktop\csv\burger\contour_cartes.psd","C:\Users\webuser\Desktop\csv\burger\vie-pic.psd","C:\Users\webuser\Desktop\csv\burger\cout-pic.psd","C:\Users\webuser\Desktop\csv\burger\degats-pic.psd"
"Gong fu panda",4,2,4,Créature,"C:\Users\webuser\Desktop\csv\burger\gong_fu_panda.psd","Le gong retentira, des ondes il projettera, à terre il vous mettra...","C:\Users\webuser\Desktop\csv\burger\contour_cartes.psd","C:\Users\webuser\Desktop\csv\burger\vie-pic.psd","C:\Users\webuser\Desktop\csv\burger\cout-pic.psd","C:\Users\webuser\Desktop\csv\burger\degats-pic.psd"
"Hannibal lecteur",3,5,3,Créature,"C:\Users\webuser\Desktop\csv\burger\hannibal_lecteur.psd","Sa musique vous hypnotisera, pendant qu'il vous démembrera. ","C:\Users\webuser\Desktop\csv\burger\contour_cartes.psd","C:\Users\webuser\Desktop\csv\burger\vie-pic.psd","C:\Users\webuser\Desktop\csv\burger\cout-pic.psd","C:\Users\webuser\Desktop\csv\burger\degats-pic.psd"
Gladbatteur,6,8,7,Créature,"C:\Users\webuser\Desktop\csv\burger\gladbatteur.psd","Il bat les tambours de guerre.","C:\Users\webuser\Desktop\csv\burger\contour_cartes.psd","C:\Users\webuser\Desktop\csv\burger\vie-pic.psd","C:\Users\webuser\Desktop\csv\burger\cout-pic.psd","C:\Users\webuser\Desktop\csv\burger\degats-pic.psd"
"Pinguin's united",3,1,1,Bouclier,"C:\Users\webuser\Desktop\csv\burger\pinguin's_united.psd","L'harmonie de leurs voix  écarte toute menaces contre moi.","C:\Users\webuser\Desktop\csv\burger\contour_cartes.psd","C:\Users\webuser\Desktop\csv\burger\vie-pic.psd","C:\Users\webuser\Desktop\csv\burger\cout-pic.psd","C:\Users\webuser\Desktop\csv\burger\degats-pic.psd"
Spidermaid,6,3,3,Bouclier,"C:\Users\webuser\Desktop\csv\burger\spidermaid.psd","On se fait une toile ?","C:\Users\webuser\Desktop\csv\burger\contour_cartes.psd","C:\Users\webuser\Desktop\csv\burger\vie-pic.psd","C:\Users\webuser\Desktop\csv\burger\cout-pic.psd","C:\Users\webuser\Desktop\csv\burger\degats-pic.psd"
Interstellarsen,,4,3,Sort,"C:\Users\webuser\Desktop\csv\burger\interstellarsen.psd","Il vient de l'espace pour aspirer votre âme avec le son strident de son arme.","C:\Users\webuser\Desktop\csv\burger\contour_cartes.psd",,"C:\Users\webuser\Desktop\csv\burger\cout-pic.psd","C:\Users\webuser\Desktop\csv\burger\degats-pic.psd"
"Jack pipow",,6,5,Sort,"C:\Users\webuser\Desktop\csv\burger\jack_pipow.psd","Hypnotisé vous serez !","C:\Users\webuser\Desktop\csv\burger\contour_cartes.psd",,"C:\Users\webuser\Desktop\csv\burger\cout-pic.psd","C:\Users\webuser\Desktop\csv\burger\degats-pic.psd"
